,value
performance_quality,provisional
start_date,2026-04-06 00:00:00
end_date,2026-04-08 00:00:00
n_business_days,3
strategy_total_return,0.01289021368439247
strategy_cagr,
strategy_ann_vol,
strategy_neg_ann_vol,
strategy_sharpe,
strategy_sortino,
strategy_max_dd,-0.00546076515671412
benchmark_total_return,0.022081234660277227
benchmark_cagr,
benchmark_ann_vol,
benchmark_max_dd,0.0
latest_beta_vs_benchmark,
latest_alpha_vs_benchmark,
tracking_error,
information_ratio,
excess_total_return,-0.009191020975884756
